('蚁人2：黄蜂女现身', ['保罗·路德', '伊万杰琳·莉莉', '迈克尔·佩纳', '汉娜·乔恩-卡门', '沃尔顿·戈金斯'], '7.3')
('西西里的美丽传说', ['莫妮卡·贝鲁奇', '朱塞佩·苏尔法罗', '玛蒂尔德·皮亚纳', '埃丽萨·莫鲁奇', '奥罗拉·夸特罗基'], '8.8')
('加勒比海盗', ['约翰尼·德普', '杰弗里·拉什', '奥兰多·布鲁姆', '凯拉·奈特莉', '杰克·达文波特'], '8.7')
('后会无期', ['冯绍峰', '陈柏霖', '钟汉良', '王珞丹', '袁泉'], '7.1')
('触不可及', ['弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗', '托马·索利韦尔'], '9.2')
('喜剧之王', ['周星驰', '张柏芝', '莫文蔚', '吴孟达', '林子善'], '8.7')
('北京遇上西雅图', ['汤唯', '吴秀波', '海清', '宋美曼', '宋美慧'], '7.3')
('黑天鹅', ['娜塔莉·波特曼', '米拉·库尼斯', '文森特·卡索', '芭芭拉·赫希', '薇诺娜·瑞德'], '8.5')
('疯狂原始人', ['尼古拉斯·凯奇', '艾玛·斯通', '瑞恩·雷诺兹', '凯瑟琳·基纳', '克萝丽丝·利奇曼'], '8.7')
('美人鱼', ['邓超', '罗志祥', '张雨绮', '林允', '徐克'], '6.7')
('小偷家族', ['中川雅也', '安藤樱', '松冈茉优', '城桧吏', '佐佐木美结'], '8.7')
